"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 04:13:38 GMT 2022","Fri Nov 18 04:13:39 GMT 2022","717","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 04:13:10 GMT 2022","Fri Nov 18 04:13:10 GMT 2022","920","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 04:13:13 GMT 2022","Fri Nov 18 04:13:14 GMT 2022","1030","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 04:13:26 GMT 2022","Fri Nov 18 04:13:26 GMT 2022","626","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 04:13:32 GMT 2022","Fri Nov 18 04:13:33 GMT 2022","771","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Fri Nov 18 04:13:26 GMT 2022","Fri Nov 18 04:13:29 GMT 2022","2881","tests","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Fri Nov 18 04:13:19 GMT 2022","Fri Nov 18 04:13:21 GMT 2022","1945","tests","test_buttons","TestButtons","","","test_buttons[chromium]","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"passed","Fri Nov 18 04:13:16 GMT 2022","Fri Nov 18 04:13:17 GMT 2022","669","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 04:13:44 GMT 2022","Fri Nov 18 04:13:44 GMT 2022","458","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
