"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 10:08:18 GMT 2022","Fri Nov 18 10:08:19 GMT 2022","774","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:37 GMT 2022","Fri Nov 18 10:08:37 GMT 2022","654","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:14 GMT 2022","Fri Nov 18 10:08:14 GMT 2022","689","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:21 GMT 2022","Fri Nov 18 10:08:22 GMT 2022","1808","tests","test_buttons","TestButtons","","","test_buttons[chromium]","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"passed","Fri Nov 18 10:08:33 GMT 2022","Fri Nov 18 10:08:33 GMT 2022","449","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:41 GMT 2022","Fri Nov 18 10:08:41 GMT 2022","258","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:28 GMT 2022","Fri Nov 18 10:08:31 GMT 2022","3019","tests","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Fri Nov 18 10:08:16 GMT 2022","Fri Nov 18 10:08:17 GMT 2022","710","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:08:28 GMT 2022","Fri Nov 18 10:08:28 GMT 2022","395","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
