"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 16:37:44 GMT 2023","Wed Apr 12 16:37:44 GMT 2023","606","tests.test_ui","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Apr 12 16:37:39 GMT 2023","Wed Apr 12 16:37:42 GMT 2023","3561","tests.test_ui","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Wed Apr 12 16:38:17 GMT 2023","Wed Apr 12 16:38:18 GMT 2023","346","tests.test_ui","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Apr 12 16:37:44 GMT 2023","Wed Apr 12 16:37:44 GMT 2023","0","tests.test_ui","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Apr 12 16:37:03 GMT 2023","Wed Apr 12 16:37:04 GMT 2023","896","tests.test_ui","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Apr 12 16:37:06 GMT 2023","Wed Apr 12 16:37:08 GMT 2023","1837","tests.test_ui","test_buttons","TestButtons","","","test_buttons","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"broken","Wed Apr 12 16:37:08 GMT 2023","Wed Apr 12 16:37:08 GMT 2023","0","tests.test_ui","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Apr 12 16:36:58 GMT 2023","Wed Apr 12 16:36:59 GMT 2023","522","tests.test_ui","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Apr 12 16:37:01 GMT 2023","Wed Apr 12 16:37:01 GMT 2023","867","tests.test_ui","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
