"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 10:22:25 GMT 2022","Fri Nov 18 10:22:25 GMT 2022","657","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:22:13 GMT 2022","Fri Nov 18 10:22:17 GMT 2022","3830","tests","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Fri Nov 18 10:22:06 GMT 2022","Fri Nov 18 10:22:08 GMT 2022","1561","tests","test_buttons","TestButtons","","","test_buttons[chromium]","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"passed","Fri Nov 18 10:22:19 GMT 2022","Fri Nov 18 10:22:20 GMT 2022","171","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:22:30 GMT 2022","Fri Nov 18 10:22:31 GMT 2022","291","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:22:01 GMT 2022","Fri Nov 18 10:22:02 GMT 2022","830","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:22:13 GMT 2022","Fri Nov 18 10:22:13 GMT 2022","424","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:21:59 GMT 2022","Fri Nov 18 10:21:59 GMT 2022","460","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Nov 18 10:22:04 GMT 2022","Fri Nov 18 10:22:04 GMT 2022","822","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
