"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 04:16:03 GMT 2022","Wed Nov 16 04:16:04 GMT 2022","1391","tests","test_buttons","TestButtons","","","test_buttons[chromium]","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"passed","Wed Nov 16 04:15:58 GMT 2022","Wed Nov 16 04:15:59 GMT 2022","625","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:16:12 GMT 2022","Wed Nov 16 04:16:13 GMT 2022","276","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:16:00 GMT 2022","Wed Nov 16 04:16:01 GMT 2022","535","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:16:07 GMT 2022","Wed Nov 16 04:16:08 GMT 2022","343","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:16:21 GMT 2022","Wed Nov 16 04:16:22 GMT 2022","239","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:16:08 GMT 2022","Wed Nov 16 04:16:11 GMT 2022","2921","tests","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Wed Nov 16 04:16:16 GMT 2022","Wed Nov 16 04:16:17 GMT 2022","625","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Nov 16 04:15:55 GMT 2022","Wed Nov 16 04:15:56 GMT 2022","608","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
