"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 07:40:02 GMT 2023","Wed Jun 28 07:40:04 GMT 2023","1525","tests.test_ui","test_text_boxes","TestTextBoxes","","","test_text_boxes","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:37 GMT 2023","Wed Jun 28 07:39:38 GMT 2023","1281","tests.test_ui","test_radio_buttons","TestRadioButtons","","","test_radio_buttons","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:45 GMT 2023","Wed Jun 28 07:39:47 GMT 2023","1104","tests.test_ui","test_select_menu","TestSelect","","","test_select_one_dropdown","Test to verify the Select One dropdown on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:58 GMT 2023","Wed Jun 28 07:39:59 GMT 2023","990","tests.test_ui","test_select_menu","TestSelect","","","test_standard_multi_select","Test to verify the Standard multi select Menu on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:42 GMT 2023","Wed Jun 28 07:39:43 GMT 2023","980","tests.test_ui","test_select_menu","TestSelect","","","test_select_value_dropdown","Test to verify the Select Value dropdown on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:32 GMT 2023","Wed Jun 28 07:39:34 GMT 2023","1534","tests.test_ui","test_practice_form","TestPracticeForm","","","test_practice_form",""
"broken","Wed Jun 28 07:39:28 GMT 2023","Wed Jun 28 07:39:29 GMT 2023","811","tests.test_ui","test_check_boxes","TestCheckBoxes","","","test_checkboxes","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:24 GMT 2023","Wed Jun 28 07:39:25 GMT 2023","917","tests.test_ui","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jun 28 07:39:54 GMT 2023","Wed Jun 28 07:39:55 GMT 2023","717","tests.test_ui","test_select_menu","TestSelect","","","test_multiselect_dropdown","Test to verify the Multiselect drop down on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:50 GMT 2023","Wed Jun 28 07:39:51 GMT 2023","816","tests.test_ui","test_select_menu","TestSelect","","","test_old_style_select_menu","Test to verify the Old Style Select Menu on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:20 GMT 2023","Wed Jun 28 07:39:20 GMT 2023","866","tests.test_ui","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:39:15 GMT 2023","Wed Jun 28 07:39:16 GMT 2023","868","tests.test_ui","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
