"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 04:15:05 GMT 2022","Tue Nov 15 04:15:05 GMT 2022","340","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:49 GMT 2022","Tue Nov 15 04:14:52 GMT 2022","3729","tests","test_practice_form","TestPracticeForm","","","test_practice_form[chromium]",""
"passed","Tue Nov 15 04:14:59 GMT 2022","Tue Nov 15 04:15:00 GMT 2022","674","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:36 GMT 2022","Tue Nov 15 04:14:37 GMT 2022","515","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:39 GMT 2022","Tue Nov 15 04:14:39 GMT 2022","672","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:48 GMT 2022","Tue Nov 15 04:14:49 GMT 2022","494","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:34 GMT 2022","Tue Nov 15 04:14:34 GMT 2022","625","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Nov 15 04:14:41 GMT 2022","Tue Nov 15 04:14:43 GMT 2022","1905","tests","test_buttons","TestButtons","","","test_buttons[chromium]","Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button

        :param test_setup:
        :return: None
        "
"passed","Tue Nov 15 04:14:54 GMT 2022","Tue Nov 15 04:14:55 GMT 2022","453","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
